Year_Week,Donor_Segment,Party,Total_Donation
2024-W28,Large,REP,711493
2024-W28,Medium,DEM,860659
2024-W28,Medium,REP,215923
2024-W28,Small,DEM,469276
2024-W28,Small,REP,139703
2024-W29,Large,DEM,4820177
2024-W29,Large,REP,886707
2024-W29,Medium,DEM,2014239
2024-W29,Medium,REP,281327
2024-W29,Small,DEM,1052548
2024-W29,Small,REP,166779
2024-W30,Large,DEM,7216639
2024-W30,Large,REP,1275308
2024-W30,Medium,DEM,3137939
2024-W30,Medium,REP,312953
2024-W30,Small,DEM,1470727
2024-W30,Small,REP,176528
2024-W31,Large,DEM,5683016
2024-W31,Large,REP,1607802
2024-W31,Medium,DEM,2238505
2024-W31,Medium,REP,544303
2024-W31,Small,DEM,954034
2024-W31,Small,REP,237384
2024-W32,Large,DEM,5564824
2024-W32,Large,REP,1112150
2024-W32,Medium,DEM,2148733
2024-W32,Medium,REP,297545
2024-W32,Small,DEM,1134055
2024-W32,Small,REP,222214
2024-W33,Large,DEM,4963261
2024-W33,Large,REP,1270900
2024-W33,Medium,DEM,1521862
2024-W33,Medium,REP,354905
2024-W33,Small,DEM,798213
2024-W33,Small,REP,230291
2024-W34,Large,DEM,5927101
2024-W34,Large,REP,1115769
2024-W34,Medium,DEM,2353974
2024-W34,Medium,REP,381807
2024-W34,Small,DEM,1154598
2024-W34,Small,REP,178800
2024-W35,Large,DEM,6160494
2024-W35,Large,REP,1508401
2024-W35,Medium,DEM,2236482
2024-W35,Medium,REP,523872
2024-W35,Small,DEM,958208
2024-W35,Small,REP,314883
2024-W36,Large,DEM,5617264
2024-W36,Large,REP,1379108
2024-W36,Medium,DEM,1912266
2024-W36,Medium,REP,411998
2024-W36,Small,DEM,884105
2024-W36,Small,REP,271605
2024-W37,Large,DEM,7069749
2024-W37,Large,REP,1345912
2024-W37,Medium,DEM,2995853
2024-W37,Medium,REP,470476
2024-W37,Small,DEM,1492298
2024-W37,Small,REP,290791
2024-W38,Large,DEM,7163064
2024-W38,Large,REP,1662736
2024-W38,Medium,DEM,2393215
2024-W38,Medium,REP,495445
2024-W38,Small,DEM,1200348
2024-W38,Small,REP,296821
2024-W39,Large,DEM,8243355
2024-W39,Large,REP,2004541
2024-W39,Medium,DEM,2624534
2024-W39,Medium,REP,612961
2024-W39,Small,DEM,1225199
2024-W39,Small,REP,360223
2024-W40,Large,DEM,7915965
2024-W40,Large,REP,2290360
2024-W40,Medium,DEM,2900881
2024-W40,Medium,REP,974042
2024-W40,Small,DEM,1389529
2024-W40,Small,REP,494451
2024-W41,Large,DEM,7006617
2024-W41,Large,REP,1922259
2024-W41,Medium,DEM,3050980
2024-W41,Medium,REP,743709
2024-W41,Small,DEM,1597432
2024-W41,Small,REP,462264
2024-W42,Large,DEM,7327578
2024-W42,Large,REP,2715814
2024-W42,Medium,DEM,3201848
2024-W42,Medium,REP,1005014
2024-W42,Small,DEM,1920389
2024-W42,Small,REP,532288
2024-W43,Large,DEM,6796004
2024-W43,Large,REP,2311717
2024-W43,Medium,DEM,3386109
2024-W43,Medium,REP,921896
2024-W43,Small,DEM,1855936
2024-W43,Small,REP,513907
2024-W44,Large,DEM,7307467
2024-W44,Large,REP,2459703
2024-W44,Medium,DEM,3562940
2024-W44,Medium,REP,1001346
2024-W44,Small,DEM,2048902
2024-W44,Small,REP,557238
2024-W45,Large,DEM,1581329
2024-W45,Large,REP,1378701
2024-W45,Medium,DEM,740994
2024-W45,Medium,REP,686941
2024-W45,Small,DEM,425649
2024-W45,Small,REP,506919
2024-W46,Large,DEM,289523
2024-W46,Large,REP,227694
2024-W46,Medium,DEM,49991
2024-W46,Medium,REP,83397
2024-W46,Small,DEM,23565
2024-W46,Small,REP,75763
2024-W47,Large,DEM,280354
2024-W47,Large,REP,198802
2024-W47,Medium,DEM,74329
2024-W47,Medium,REP,76162
2024-W47,Small,DEM,41873
2024-W47,Small,REP,56669
2024-W48,Large,DEM,389656
2024-W48,Large,REP,276361
2024-W48,Medium,DEM,125601
2024-W48,Medium,REP,131872
2024-W48,Small,DEM,50059
2024-W48,Small,REP,106744
2024-W49,Large,DEM,113147
2024-W49,Large,REP,147810
2024-W49,Medium,DEM,35343
2024-W49,Medium,REP,58342
2024-W49,Small,DEM,20578
2024-W49,Small,REP,56049
2024-W50,Large,DEM,193180
2024-W50,Large,REP,218511
2024-W50,Medium,DEM,62493
2024-W50,Medium,REP,67141
2024-W50,Small,DEM,38717
2024-W50,Small,REP,60124
2024-W51,Large,DEM,127794
2024-W51,Large,REP,170673
2024-W51,Medium,DEM,27971
2024-W51,Medium,REP,56298
2024-W51,Small,DEM,13612
2024-W51,Small,REP,52724
2024-W52,Large,DEM,102231
2024-W52,Large,REP,140819
2024-W52,Medium,DEM,22270
